Census Blockgroup,Children,Elderly,NonWhite,Poverty,Education,English,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,HousingQuality,Homeless,LivAlone,FloodHealthIndex,FloodHealthIndex_Quintiles
60750254032.0,0.1665058,0.12600133,0.792998,0.36649379,0.82000885,0.17700182,9.30935,0.0,0.09072310000000001,13.8619,36.8079,6.7337,0.12300126,2.98198,3.2195,0.19600209,65.926,5
60750329022.0,0.156696,0.22,0.718,0.246548,0.804,0.175,154.063,0.0,0.00275954,4.3082,8.2895,2.8081,0.109,5.3724,1.8761,0.273,49.2463,3
60750615003.0,0.0919716,0.05647839,0.494667,0.17037449999999998,0.95616929,0.08025877,-16.99,0.227608,0.0014319,0.0,21.81,0.0,0.08025877,1.70068,19.0926,0.46966243,56.5392,4
60750229033.0,0.14691543,0.10999957,0.681001,0.31745375,0.8989965,0.06399975,-1.36219,0.0,0.010949700000000001,13.9,37.03,6.7351,0.09799962,6.96622,3.2195,0.27099894,64.546,5
60750209001.0,0.13974172,0.09399981,0.6610010000000001,0.46447407,0.80399839,0.18099964,49.5745,0.0,0.0,13.9,37.03,6.7351,0.11999976,9.91854,3.2195,0.28799942,59.533,4
60750253003.0,0.16209835,0.08600018,0.49199899999999996,0.20437356,0.92300154,0.10600019,83.4006,0.0,0.00593062,13.8664,36.9417,6.7195,0.057000199999999994,11.8549,3.199,0.25900055,50.8662,3
60750231031.0,0.45220943,0.03499423,0.9260120000000001,0.84001152,0.74087801,0.084986,-6.0,0.26666100000000004,0.00125631,23.1977,38.5762,16.114,0.12597925,1.0217100000000001,17.613,0.29095209,63.8992,5
60750105002.0,0.08615656,0.26686969,0.40815999999999997,0.17155782,0.94438388,0.04529891,-5.6175,0.503456,0.00432662,0.0,29.377,0.0,0.07385693,0.743216,4.8628,0.54161745,69.8791,5
60750253001.0,0.162098,0.086,0.49200000000000005,0.204373,0.9229999999999999,0.106,97.6901,0.0,0.00266835,13.9,37.03,6.7351,0.057,4.55729,3.2195,0.259,46.2329,3
60750302021.0,0.09660099999999999,0.087,0.514,0.24255100000000002,0.94200054,0.055999999999999994,233.657,0.0,0.026393299999999998,4.3,8.28,2.8093,0.024,8.05369,3.7988,0.40300047,43.1929,2
60750402003.0,0.11719191,0.14599988,0.511,0.16155986,0.89699924,0.07999993,135.093,0.0,0.00332105,3.2,6.69,1.9236,0.08399993,6.13825,4.6154,0.40099964,43.8596,2
60750168012.0,0.115951,0.062,0.426,0.234762,0.971,0.011000000000000001,103.679,0.0,0.0106069,6.4305,14.4439,3.6814,0.081,7.462689999999999,3.0154,0.48,48.1928,3
60750112002.0,0.060429,0.204,0.49,0.290123,0.9,0.10300000000000001,219.975,0.0,0.0,7.0685,18.364,3.7239,0.11,15.4545,4.9374,0.49700000000000005,53.1532,4
60750332041.0,0.05845905,0.20700005,0.665,0.49304107,0.93800029,0.18300003,119.854,0.0,0.0,8.0,13.81,3.9498,0.11800003,1.386,0.2606,0.35600006,47.6131,3
60750161001.0,0.12108664,0.26999919,0.747001,0.63120211,0.81599755,0.33099901,60.1828,0.0,0.0207141,15.4969,63.7362,12.9636,0.2329993,3.7267099999999997,3.7988,0.51899844,76.5394,5
60750178012.0,0.018917,0.5539999999999999,0.741,0.5779310000000001,0.64,0.535,-4.2587,0.06911189999999999,0.00908376,9.9,14.55,4.6817,0.452,0.462321,19.2683,0.6779999999999999,80.5259,5
60750121002.0,0.00980403,0.10899998,0.490001,0.37185562,0.89799902,0.12199981,74.4042,0.0,0.00022348,10.9785,36.3624,8.3343,0.10899982,10.2936,4.9374,0.59899951,64.153,5
60750158012.0,0.14266286,0.12799987,0.584,0.36155664,0.92999907,0.08599991,129.53,0.0,0.00026578,12.1,23.1,5.4453,0.12099988,6.31234,3.1789,0.29199971,49.5464,3
60750332011.0,0.02107,0.049,0.542,0.67817701,0.92500001,0.172,26.0138,0.0,0.0148146,8.0,13.81,3.9498,0.091,0.190422,0.2606,0.33400001,59.6127,4
60750327005.0,0.14291700000000002,0.179,0.6559999999999999,0.21635300000000002,0.841,0.179,233.043,0.0,0.0010317,4.3,8.28,2.8093,0.09699999999999999,2.9350099999999997,1.8761,0.159,34.9531,1
60750261001.0,0.173549,0.171,0.892,0.277262,0.7559999999999999,0.285,127.25,0.0,0.041316399999999996,8.2,14.28,4.4834,0.106,3.64742,0.5207,0.212,59.6128,4
60750306002.0,0.2116451,0.2010001,0.389,0.06629807,0.99300054,0.03700001,433.66900000000004,0.0,0.0056733,4.6997,8.3104,2.7002,0.06900006,3.21395,0.2606,0.22200011,27.6197,1
60750612001.0,0.20726501,0.105,0.917,0.50377604,0.63600012,0.22000002,0.8517549999999999,0.00018362,0.00701462,23.2,38.58,16.1156,0.09000002,8.45712,17.613,0.26400006,80.1859,5
60750229013.0,0.203623,0.071,0.752,0.42237299999999994,0.706,0.203,29.0997,0.0,0.00938619,13.9,37.03,6.7351,0.115,3.20233,3.2195,0.242,62.9194,5
60750259001.0,0.14364469,0.16499959,0.7930010000000001,0.175232,0.8139976,0.15299973,94.2554,0.0,0.0132547,11.2,16.81,7.5022,0.10199975,2.82768,3.2195,0.27799912,60.5728,4
60750163001.0,0.079402,0.05,0.544,0.31396599999999997,0.927,0.022000000000000002,65.1467,0.0,0.00097289,15.1342,61.7657,12.5929,0.114,6.197,3.7988,0.39299999999999996,52.8663,4
60750228031.0,0.15145843,0.06799978,0.704001,0.34266290000000005,0.78899712,0.18299932,29.67,0.0,0.0,13.9,37.03,6.7351,0.08999971,5.45256,3.2195,0.23799919,52.233000000000004,4
60750426021.0,0.2067868,0.15299999,0.45,0.16531352,0.90499986,0.08700035,136.77100000000002,0.0,0.00708695,3.5872,8.8022,2.2008,0.09299996,4.36681,4.6154,0.2710006,41.2262,2
60750130003.0,0.08949,0.142,0.18600000000000003,0.143991,0.965,0.008,43.0755,0.0,0.0,0.0,5.16,0.0,0.057,4.72814,0.3448,0.485,32.233000000000004,1
60750476001.0,0.15753695,0.1809999,0.6,0.19351991,0.86699959,0.1529999,132.078,0.0,0.00781582,3.6948,9.3888,2.2777,0.08699996,4.27029,4.6154,0.2539999,49.2262,3
60750166004.0,0.06646187,0.05499989,0.297001,0.23225554,0.96999806,0.07699985,221.40599999999998,0.0,0.0109472,6.4,14.39,3.6513,0.08099984,8.07382,3.7988,0.33999932,45.1996,3
60750101001.0,0.05751666,0.19751667,0.5577989999999999,0.32755634,0.87850698,0.18474196,-7.52577,0.22820300000000002,0.00314665,5.1173,22.3352,4.0437,0.12971244,4.54545,4.8488,0.51688442,81.1858,5
60750352015.0,0.155141,0.127,0.6729999999999999,0.2189,0.852,0.11199999999999999,8.9134,0.0,0.0135013,4.3,8.28,2.8093,0.08199999999999999,1.9474200000000002,1.8761,0.24600000000000002,47.2727,3
60750309001.0,0.18733015,0.21500018,0.536,0.07986105,0.9330008,0.07400004,358.962,0.0,0.00154317,4.7,8.31,2.7004,0.08300008,2.8399,0.2606,0.13900018,26.2998,1
60750264041.0,0.21337019,0.11440317,0.9812620000000001,0.42859067,0.68641969,0.21006793,54.5295,0.0,0.0109524,11.2,16.81,7.5022,0.09566484,3.96826,17.613,0.14892152,62.9061,5
60750125022.0,0.04398078,0.24999875,0.868001,0.72512337,0.56999715,0.41899791,32.5967,0.0,0.00193155,15.5,63.75,12.9674,0.32699837,2.1164,19.2683,0.67299664,73.1862,5
60750309007.0,0.18733046,0.21500049,0.535998,0.07986298,0.93300406,0.07400066,140.504,0.0,0.00085107,8.0,13.81,3.9498,0.08300047,1.6716799999999998,0.2606,0.13900122,32.9797,1
60750166001.0,0.06646195,0.05500003,0.297,0.23225592,0.96999993,0.07699986,202.946,0.0,0.00343163,6.4,14.39,3.6513,0.08099991,8.01068,3.7988,0.34000011,42.533,2
60750103001.0,0.103083,0.205,0.434,0.32351599999999997,0.853,0.09699999999999999,12.9121,0.0,0.00099798,6.4012,20.4383,5.0572,0.077,6.3063,3.0599,0.36,58.2129,4
60750330006.0,0.174831,0.159,0.644,0.225606,0.855,0.115,72.0036,0.0,0.00313447,6.4,10.72,2.498,0.079,3.6147699999999996,1.8761,0.23,44.2662,2
60750262001.0,0.16242421,0.17300021,0.884,0.27647438,0.77000092,0.19700036,175.86599999999999,0.0,0.00197073,8.2,14.28,4.4834,0.09000013,2.4356299999999997,0.5207,0.06500024,45.2997,3
60750129023.0,0.072392,0.115,0.272,0.13714500000000002,0.983,0.025,11.8385,0.0,0.00106793,0.0,5.16,0.0,0.038,4.17101,0.3448,0.551,37.2262,1
60750257022.0,0.21690503,0.15000003,0.9059999999999999,0.42490208,0.59300011,0.18700004,17.5707,0.0,0.00441322,11.2646,16.9272,7.5486,0.06600002,3.89963,6.6462,0.08700003,63.9061,5
60750311001.0,0.138291,0.131,0.541,0.165101,0.941,0.069,146.231,0.0,0.00051432,3.6001,9.9101,1.9475,0.07400000000000001,4.12305,1.4380000000000002,0.245,28.5931,1
60750256002.0,0.15865868,0.16299969,0.824001,0.26963038,0.77199855,0.21599951,167.304,0.0,0.0007007000000000001,11.2,16.81,7.5022,0.09499982,3.12589,3.2195,0.19399971,49.9264,3
60750177001.0,0.08403909,0.09700005,0.565,0.32648125,0.78300071,0.08500005,2.04311,0.0,0.0361009,15.677,58.0795,9.961,0.15800008,9.86611,13.468,0.45100034,78.1593,5
60750107001.0,0.09433285,0.24299953,0.7979999999999999,0.55921573,0.53999945,0.6089983,34.0034,0.0,0.00129861,6.4,20.43,5.0582,0.18699954,15.4142,4.9374,0.40799923,69.8329,5
60750329023.0,0.156696,0.22,0.718,0.246548,0.804,0.175,156.841,0.0,0.0011399000000000001,6.3988,10.7185,2.4982,0.109,0.821693,1.8761,0.273,43.2797,2
60750301013.0,0.085448,0.08800000000000001,0.384,0.269932,0.9690000000000001,0.043,255.15599999999998,0.0,0.00054028,4.3,8.28,2.8093,0.086,6.36132,3.7988,0.42,32.8665,1
60750477023.0,0.13503886,0.15999984,0.609,0.19639879999999998,0.87999912,0.17899982,135.434,0.0,0.00371252,4.3,12.69,2.7109,0.11499989,2.83889,4.6154,0.26099974,48.5729,3
60750478011.0,0.10353499999999999,0.212,0.684,0.22906700000000002,0.895,0.215,109.527,0.0,0.015339199999999999,4.3,12.69,2.7109,0.14,1.78731,4.6154,0.297,57.9128,4
60750131012.0,0.06990174,0.06099979,0.302003,0.07855776,1.00099624,0.03099992,178.805,0.0,0.00036314,7.9,30.47,3.8247,0.03299989,5.74454,0.3448,0.58999778,33.5398,1
60750129021.0,0.07239197,0.11499994,0.272,0.13714481,0.98299936,0.02499994,31.8725,0.0,0.0249746,0.0036,5.1716,0.0018,0.03800003,10.4406,0.3448,0.55099946,47.5327,3
60750108003.0,0.093325,0.174,0.573,0.26721100000000003,0.828,0.185,165.25799999999998,0.0,0.0,6.693,17.5053,4.2313,0.096,9.227219999999999,4.9374,0.423,53.8398,4
60750127001.0,0.11805596,0.11091368,0.195389,0.11261923,0.9369288,0.01848561,-7.3116699999999994,0.329432,0.036074,0.0,5.1518,0.0,0.09826563,4.94624,0.3398,0.48646353,58.898999999999994,4
60750328023.0,0.136478,0.175,0.8029999999999999,0.24805,0.84,0.20800000000000002,269.71,0.0,0.00019197,4.3032,8.2837,2.8088,0.115,3.01432,1.8761,0.27399999999999997,37.5932,1
60750313023.0,0.173333,0.134,0.87,0.383139,0.8,0.183,160.503,0.0,0.00447101,7.9618,13.7448,3.9339999999999997,0.115,5.0976099999999995,0.3402,0.215,50.5996,3
60750402001.0,0.1171917,0.14599961,0.511001,0.1615596,0.89699762,0.07999982,161.222,0.0,0.0123182,3.195,6.6795,1.9206,0.08399978,3.31675,3.7041,0.4009989,43.8862,2
60750131022.0,0.05126318,0.25000015,0.128998,0.1128422,0.98800252,0.00500008,130.414,0.0,0.00037747,5.1831,21.7658,2.5093,0.09800008,4.74052,0.3448,0.52900149,43.2264,2
60750111001.0,0.06055700000000001,0.14400000000000002,0.455,0.22195700000000002,0.8809999999999999,0.149,158.284,0.0,0.00054875,7.9,30.47,3.8247,0.127,6.17844,4.9374,0.563,54.8331,4
